"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20220101 ~ 20221231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","202204","12","220,000","4","1987","언주로 3","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","202204","21","220,000","2","1987","언주로 3","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","202205","27","216,000","2","1987","언주로 3","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","102.32","202204","1","369,000","13","2020","개포로 264","","중개거래","서울 강남구, 서울 양천구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","136.06","202205","2","420,000","17","2020","개포로 264","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202205","12","203,500","5","2020","개포로 264","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202205","26","210,000","6","2020","개포로 264","20220930","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202206","17","195,000","10","2020","개포로 264","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","84.83","202211","25","240,000","33","2020","개포로 264","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","84.86","202211","29","240,000","5","2020","개포로 264","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","168.42","202202","7","246,000","2","2004","개포로109길 69","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","170.32","202207","27","303,000","11","2004","개포로109길 69","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","185","0185","0000","개포주공6단지","83.21","202201","15","280,000","8","1983","개포로 516","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","185","0185","0000","개포주공6단지","73.02","202203","18","270,000","5","1983","개포로 516","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","185","0185","0000","개포주공6단지","83.21","202212","17","190,000","3","1983","개포로 516","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","185","0185","0000","개포주공7단지","53.46","202203","17","211,500","4","1983","개포로 516","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","185","0185","0000","개포주공7단지","73.26","202203","18","265,000","6","1983","개포로 516","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","649","0649","0000","경남1","123.28","202203","8","343,000","4","1984","언주로 110","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","649","0649","0000","경남2차","186.16","202204","19","400,000","8","1984","언주로 110","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1167","1167","0000","그린빌리지","197.91","202202","11","180,000","4","1996","논현로4길 28","","중개거래","서울 서초구"
"서울특별시 강남구 개포동","138","0138","0000","디에이치아너힐즈","131.3226","202202","22","590,000","8","2019","삼성로 11","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","138","0138","0000","디에이치아너힐즈","76.1709","202204","8","305,000","23","2019","삼성로 11","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","138","0138","0000","디에이치아너힐즈","59.8732","202205","11","234,500","28","2019","삼성로 11","20221207","중개거래","서울 강남구"
"서울특별시 강남구 개포동","138","0138","0000","디에이치아너힐즈","59.7479","202205","14","227,000","3","2019","삼성로 11","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","138","0138","0000","디에이치아너힐즈","106.9877","202209","15","430,000","27","2019","삼성로 11","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","138","0138","0000","디에이치아너힐즈","84.3558","202211","26","250,000","19","2019","삼성로 11","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","138","0138","0000","디에이치아너힐즈","76.1709","202212","22","220,000","24","2019","삼성로 11","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","84.943","202201","15","300,000","7","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","59.888","202204","16","200,000","1","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","59.967","202205","27","228,500","22","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","99.991","202206","10","360,000","32","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","59.967","202206","28","214,000","5","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","99.991","202207","11","373,000","31","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","59.888","202207","11","210,000","7","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","59.967","202210","8","185,000","7","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","84.943","202212","5","241,000","8","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","51.12","202203","26","157,000","2","1992","개포로109길 21","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","39.53","202208","8","119,000","12","1992","개포로109길 21","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","60","202210","18","122,000","10","1992","개포로109길 21","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","60","202211","14","134,000","7","1992","개포로109길 21","","중개거래","서울 강남구, 서울 서초구"
"서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","51.12","202212","16","100,000","15","1992","개포로109길 21","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1164-12","1164","0012","새롬(1164-12)","73.5","202207","15","111,500","6","2000","논현로2길 34","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202201","8","125,000","7","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202201","11","120,000","5","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202201","25","120,000","8","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202203","18","118,000","7","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202203","27","120,000","12","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202204","7","145,000","8","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202204","18","110,000","9","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202206","1","108,000","15","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202206","30","95,000","4","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","49.86","202207","4","150,000","8","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202207","9","130,500","6","1992","개포로109길 9","","중개거래","서울 강남구"
